archived_url,article_url,id,language,media_name,media_url,publish_date,title,url,category
https://web.archive.org/web/20230309121603/https://www.milenio.com/negocios/receta-medica-electronica-potencia-seguridad-privacidad-healthtech,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG1pbGVuaW8pL25lZ29jaW9zL3JlY2V0YS1tZWRpY2EtZWxlY3Ryb25pY2EtcG90ZW5jaWEtc2VndXJpZGFkLXByaXZhY2lkYWQtaGVhbHRodGVjaA~~,20230309121603,es,milenio.com,http://milenio.com,2023-03-08 00:00:00,Receta médica electrónica potencia seguridad y privacidad: Healthtech,https://www.milenio.com/negocios/receta-medica-electronica-potencia-seguridad-privacidad-healthtech,salud
https://web.archive.org/web/20230305061526/https://www.milenio.com/negocios/terapia-psicodelica-impulsa-el-turismo-medico,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG1pbGVuaW8pL25lZ29jaW9zL3RlcmFwaWEtcHNpY29kZWxpY2EtaW1wdWxzYS1lbC10dXJpc21vLW1lZGljbw~~,20230305061526,es,milenio.com,http://milenio.com,2023-03-04 00:00:00,Terapia con psicodélicos impulsa turismo médico,https://www.milenio.com/negocios/terapia-psicodelica-impulsa-el-turismo-medico,salud
https://web.archive.org/web/20230304100339/https://www.elfinanciero.com.mx/salud/2023/03/03/cuanto-tiempo-se-recomienda-exponerse-al-sol-segun-tu-tipo-de-piel/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsY29tLGVsZmluYW5jaWVybykvc2FsdWQvMjAyMy8wMy8wMy9jdWFudG8tdGllbXBvLXNlLXJlY29taWVuZGEtZXhwb25lcnNlLWFsLXNvbC1zZWd1bi10dS10aXBvLWRlLXBpZWw~,20230304100339,es,elfinanciero.com.mx,http://elfinanciero.com.mx,2023-03-03 00:00:00,"¿Cuánto tiempo se recomienda exponerse al sol, según tu tipo de piel?",https://www.elfinanciero.com.mx/salud/2023/03/03/cuanto-tiempo-se-recomienda-exponerse-al-sol-segun-tu-tipo-de-piel/,salud
https://web.archive.org/web/20230304100033/https://www.milenio.com/politica/comunidad/maestros-recibiran-formacion-identificar-violencia-consumo,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG1pbGVuaW8pL3BvbGl0aWNhL2NvbXVuaWRhZC9tYWVzdHJvcy1yZWNpYmlyYW4tZm9ybWFjaW9uLWlkZW50aWZpY2FyLXZpb2xlbmNpYS1jb25zdW1v,20230304100033,es,milenio.com,http://milenio.com,2023-03-03 00:00:00,Maestros recibirán formación para identificar violencia y consumo,https://www.milenio.com/politica/comunidad/maestros-recibiran-formacion-identificar-violencia-consumo,salud
https://web.archive.org/web/20230304101306/https://www.razon.com.mx/virales/vida-hay-abuelita-festeja-xv-anos-70-video-519796,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsY29tLHJhem9uKS92aXJhbGVzL3ZpZGEtaGF5LWFidWVsaXRhLWZlc3RlamEteHYtYW5vcy03MC12aWRlby01MTk3OTY~,20230304101306,es,razon.com.mx,http://razon.com.mx,2023-03-03 00:00:00,"""Vida solo hay una"": Abuelita festeja sus quince primaveras... a los 70 años (VIDEO)",https://www.razon.com.mx/virales/vida-hay-abuelita-festeja-xv-anos-70-video-519796,salud
https://web.archive.org/web/20230307112237/https://www.milenio.com/espectaculos/famosos/bruce-willis-emma-heming-esposa-pide-que-le-griten-al-actor-en-calle,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG1pbGVuaW8pL2VzcGVjdGFjdWxvcy9mYW1vc29zL2JydWNlLXdpbGxpcy1lbW1hLWhlbWluZy1lc3Bvc2EtcGlkZS1xdWUtbGUtZ3JpdGVuLWFsLWFjdG9yLWVuLWNhbGxl,20230307112237,es,milenio.com,http://milenio.com,2023-03-06 00:00:00,Esposa de Bruce Willis pide a paparazzis que no le griten al actor,https://www.milenio.com/espectaculos/famosos/bruce-willis-emma-heming-esposa-pide-que-le-griten-al-actor-en-calle,salud
https://web.archive.org/web/20230302095335/https://www.milenio.com/espectaculos/famosos/travis-barker-por-esta-fractura-se-cancelo-la-gira-de-blink-182,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG1pbGVuaW8pL2VzcGVjdGFjdWxvcy9mYW1vc29zL3RyYXZpcy1iYXJrZXItcG9yLWVzdGEtZnJhY3R1cmEtc2UtY2FuY2Vsby1sYS1naXJhLWRlLWJsaW5rLTE4Mg~~,20230302095335,es,milenio.com,http://milenio.com,2023-03-01 00:00:00,Travis Barker: Por esta fractura se canceló la gira de Blink-182,https://www.milenio.com/espectaculos/famosos/travis-barker-por-esta-fractura-se-cancelo-la-gira-de-blink-182,salud
https://web.archive.org/web/20230309100830/https://www.elfinanciero.com.mx/opinion/lourdes-mendoza/2023/03/08/el-ortopedista-abuso-de-ti/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsY29tLGVsZmluYW5jaWVybykvb3Bpbmlvbi9sb3VyZGVzLW1lbmRvemEvMjAyMy8wMy8wOC9lbC1vcnRvcGVkaXN0YS1hYnVzby1kZS10aQ~~,20230309100830,es,elfinanciero.com.mx,http://elfinanciero.com.mx,2023-03-08 00:00:00,¿El ortopedista abusó de ti? – El Financiero,https://www.elfinanciero.com.mx/opinion/lourdes-mendoza/2023/03/08/el-ortopedista-abuso-de-ti/,salud
https://web.archive.org/web/20230309103414/https://www.razon.com.mx/opinion/columnas/ubaldo-diaz/crisis-fentanilo-enfrenta-eu-mexico-520257,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsY29tLHJhem9uKS9vcGluaW9uL2NvbHVtbmFzL3ViYWxkby1kaWF6L2NyaXNpcy1mZW50YW5pbG8tZW5mcmVudGEtZXUtbWV4aWNvLTUyMDI1Nw~~,20230309103414,es,razon.com.mx,http://razon.com.mx,2023-03-08 00:00:00,La crisis del fentanilo enfrenta a EU y México,https://www.razon.com.mx/opinion/columnas/ubaldo-diaz/crisis-fentanilo-enfrenta-eu-mexico-520257,salud
https://web.archive.org/web/20230306080009/https://www.elfinanciero.com.mx/food-and-drink/2023/03/05/que-pasa-si-tomo-aspirinas-o-paracetamol-con-cafe-sintomas/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsY29tLGVsZmluYW5jaWVybykvZm9vZC1hbmQtZHJpbmsvMjAyMy8wMy8wNS9xdWUtcGFzYS1zaS10b21vLWFzcGlyaW5hcy1vLXBhcmFjZXRhbW9sLWNvbi1jYWZlLXNpbnRvbWFz,20230306080009,es,elfinanciero.com.mx,http://elfinanciero.com.mx,2023-03-05 00:00:00,¿Remedio para la cruda? Esto es lo que pasa si mezclas café y aspirinas,https://www.elfinanciero.com.mx/food-and-drink/2023/03/05/que-pasa-si-tomo-aspirinas-o-paracetamol-con-cafe-sintomas/,salud
https://web.archive.org/web/20230309080344/https://www.elfinanciero.com.mx/deportes/2023/03/08/estadio-azteca-incumplio-normativa-de-tabaco-cofepris-anuncia-posible-sancion/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsY29tLGVsZmluYW5jaWVybykvZGVwb3J0ZXMvMjAyMy8wMy8wOC9lc3RhZGlvLWF6dGVjYS1pbmN1bXBsaW8tbm9ybWF0aXZhLWRlLXRhYmFjby1jb2ZlcHJpcy1hbnVuY2lhLXBvc2libGUtc2FuY2lvbg~~,20230309080344,es,elfinanciero.com.mx,http://elfinanciero.com.mx,2023-03-08 00:00:00,Cofepris podría multar al Estadio Azteca por ‘culpa’ de ‘Tuca’ Ferreti y su humo de cigarro,https://www.elfinanciero.com.mx/deportes/2023/03/08/estadio-azteca-incumplio-normativa-de-tabaco-cofepris-anuncia-posible-sancion/,salud
https://web.archive.org/web/20230307103712/https://www.24-horas.mx/2023/03/06/video-a-13-metros-de-profundidad-rescatan-a-mujer-que-cayo-a-pozo/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/bXgsMjQtaG9yYXMpLzIwMjMvMDMvMDYvdmlkZW8tYS0xMy1tZXRyb3MtZGUtcHJvZnVuZGlkYWQtcmVzY2F0YW4tYS1tdWplci1xdWUtY2F5by1hLXBvem8~,20230307103712,es,24-horas.mx,http://24-horas.mx,2023-03-06 00:00:00,VIDEO: ¡A 13 metros de profundidad! Rescatan a mujer que cayó a pozo,https://www.24-horas.mx/2023/03/06/video-a-13-metros-de-profundidad-rescatan-a-mujer-que-cayo-a-pozo/,salud
https://web.archive.org/web/20230303095410/https://ovaciones.com/las-mujeres-migrantes-ven-restringido-acceso-a-salud-en-mexico-alertan-ong/?utm_source=rss&utm_medium=rss&utm_campaign=las-mujeres-migrantes-ven-restringido-acceso-a-salud-en-mexico-alertan-ong,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG92YWNpb25lcykvbGFzLW11amVyZXMtbWlncmFudGVzLXZlbi1yZXN0cmluZ2lkby1hY2Nlc28tYS1zYWx1ZC1lbi1tZXhpY28tYWxlcnRhbi1vbmc_dXRtX2NhbXBhaWduPWxhcy1tdWplcmVzLW1pZ3JhbnRlcy12ZW4tcmVzdHJpbmdpZG8tYWNjZXNvLWEtc2FsdWQtZW4tbWV4aWNvLWFsZXJ0YW4tb25nJnV0bV9tZWRpdW09cnNzJnV0bV9zb3VyY2U9cnNz,20230303095410,es,ovaciones.com,http://ovaciones.com,2023-03-03 00:00:00,"Las mujeres migrantes ven restringido acceso a salud en México, alertan ONG",https://ovaciones.com/las-mujeres-migrantes-ven-restringido-acceso-a-salud-en-mexico-alertan-ong/?utm_source=rss&utm_medium=rss&utm_campaign=las-mujeres-migrantes-ven-restringido-acceso-a-salud-en-mexico-alertan-ong,salud
https://web.archive.org/web/20230308130205/https://ovaciones.com/espada-de-damocles-sobre-mexico-iniciativa-de-congresista-de-eu-advierte-monreal/?utm_source=rss&utm_medium=rss&utm_campaign=espada-de-damocles-sobre-mexico-iniciativa-de-congresista-de-eu-advierte-monreal,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLG92YWNpb25lcykvZXNwYWRhLWRlLWRhbW9jbGVzLXNvYnJlLW1leGljby1pbmljaWF0aXZhLWRlLWNvbmdyZXNpc3RhLWRlLWV1LWFkdmllcnRlLW1vbnJlYWw_dXRtX2NhbXBhaWduPWVzcGFkYS1kZS1kYW1vY2xlcy1zb2JyZS1tZXhpY28taW5pY2lhdGl2YS1kZS1jb25ncmVzaXN0YS1kZS1ldS1hZHZpZXJ0ZS1tb25yZWFsJnV0bV9tZWRpdW09cnNzJnV0bV9zb3VyY2U9cnNz,20230308130205,es,ovaciones.com,http://ovaciones.com,2023-03-07 00:00:00,"Espada de Damocles sobre México iniciativa de congresista de EU, advierte Monreal",https://ovaciones.com/espada-de-damocles-sobre-mexico-iniciativa-de-congresista-de-eu-advierte-monreal/?utm_source=rss&utm_medium=rss&utm_campaign=espada-de-damocles-sobre-mexico-iniciativa-de-congresista-de-eu-advierte-monreal,salud
