url,index,resolved,status,datetime_utc,error,filename,mimetype,encoding
https://www.milenio.com/politica/alimentacion-humana-principal-causa-deterioro-ambiental-reportera,9,,200,2023-04-02T15:25:18.622122,,02d093adefafc8b65729dff4bc0c9c16.html,text/html,utf-8
https://businessinsider.mx/quien-invento-el-taco-al-pastor-concepcion-cervantes/,88,,200,2023-04-02T15:25:18.601228,,bab24fd93ece1619db19c5770716dd1c.html,text/html,utf-8
https://unamglobal.unam.mx/la-masculinidad-como-determinante-social-de-la-salud/,53,,200,2023-04-02T15:25:19.009210,,9e7b21f806ce4b11d92eea0b32babf45.html,text/html,utf-8
https://www.milenio.com/negocios/economia-participa-incorporacion-canada-alianza-pacifico,10,,200,2023-04-02T15:25:19.569792,,3323146fd989761074112c8537196e30.html,text/html,utf-8
https://www.milenio.com/negocios/canada-explorara-opciones-mexico-resuelve-consultas-energeticas,11,,200,2023-04-02T15:25:20.191073,,aaff418539ef464346b053be78b4db3b.html,text/html,utf-8
https://unamglobal.unam.mx/le-damos-el-bisturi-del-cirujano-a-un-robot/,54,,200,2023-04-02T15:25:20.480517,,d306abf0c1a46c76a7b36eaaea7ee75e.html,text/html,utf-8
https://businessinsider.mx/cine-streaming-diversidad-representacion-mujeres-minorias_lifestyle/,89,,200,2023-04-02T15:25:20.491190,,107d787a4a81118d30bef6f3331e2c85.html,text/html,utf-8
https://www.milenio.com/politica/comunidad/esta-es-la-fecha-de-inicio-de-las-posadas,12,,200,2023-04-02T15:25:21.141715,,29150bfb6844efde47847fcde19de75d.html,text/html,utf-8
https://www.milenio.com/politica/ricardo-monreal-asegura-perfil-suceder-amlo,13,,200,2023-04-02T15:25:21.782182,,e7275ae50704a9a42182a26b12c0c7c1.html,text/html,utf-8
https://businessinsider.mx/plantas-emiten-grito-ultrasonico-falta-agua-corte-hojas_lifestyle/,90,,200,2023-04-02T15:25:21.799768,,664d050dbb91e0815e5594233b1a851d.html,text/html,utf-8
https://unamglobal.unam.mx/ulama-el-juego-prehispanico-que-se-resiste-a-morir/,73,,200,2023-04-02T15:25:22.096804,,573b3e9a802aef80f71621aba45e501b.html,text/html,utf-8
https://www.milenio.com/negocios/nearshoring-impulsa-a-banbajio-y-banregio-moody-s,14,,200,2023-04-02T15:25:22.921681,,658f8bc8f20e40749fb7c1bbc7d5f392.html,text/html,utf-8
https://unamglobal.unam.mx/la-poesia-es-la-musica-verbal-mas-poderosa/,56,,200,2023-04-02T15:25:23.022567,,4e4df8bbd5c6ba5a1098052400e12623.html,text/html,utf-8
https://businessinsider.mx/historia-esvastica-signo-suerte-mal_lifestyle/,91,,200,2023-04-02T15:25:23.160800,,6d11c187514892b8351ed0a583522b92.html,text/html,utf-8
