ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,metadata,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count
False,2022-12-07 21:45:10.989876,,article 1516655 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2879189208,2022-12-07 21:18:45,2500416763,[],Bad Bunny: les cancelan vuelos a Monterrey y su papá manejó 800 km para llevarlas a concierto,https://www.milenio.com/virales/tiktok-padre-maneja-800-km-hija-bad-bunny,
False,2022-12-07 23:44:36.186567,,article 1516740 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2879245605,2022-12-07 23:37:25,2500483901,[],"Tren de la Línea 3 del Metro CdMx operando con las puertas abiertas, denuncian usuarios",https://www.milenio.com/politica/comunidad/video-metro-cdmx-linea-3-operando-puertas-abiertas,
False,2022-12-08 16:44:52.141798,,article 1516988 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2880046834,2022-12-08 14:29:44,2501364186,[],IP de EU llama a empresas a sumarse al pacto sustentable 2030,https://www.milenio.com/negocios/ip-eu-llama-empresas-sumarse-pacto-sustentable-2030,
False,2022-12-08 18:06:17.591940,,article 1517112 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2880092381,2022-12-08 18:01:11,2501416450,[],¿Cuánto cuesta la mercancía oficial de Bad Bunny de los conciertos en México?,https://www.milenio.com/espectaculos/cuanto-cuesta-la-merch-oficial-de-bad-bunny,
False,2022-12-19 19:34:36.412440,,article 1522039 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2889448023,2022-12-19 18:15:00,2511885377,[],Piqu se burla del FRACASO de la Seleccin Mexicana en el Mundial; 'lo acusan' con el 'Canelo' lvarez,https://www.milenio.com/deportes/extra-cancha/acusan-a-pique-con-canelo-por-burlarse-del-fracaso-del-tri-en-mundial,
False,2022-12-19 20:04:36.911244,,article 1521892 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2889461042,2022-12-19 02:17:47,2511901468,[],Indgenas retienen a presuntos militares que decomisaron droga en la Selva Lacandona,https://www.milenio.com/sociedad/indigenas-retienen-presuntos-militares-decomisaron-droga,
False,2022-12-20 00:04:02.566586,,article 1522341 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2889566730,2022-12-19 23:58:29,2512023176,[],Youtuber compra 1000 boletos del metro para regalarlos; se hace viral,https://www.milenio.com/virales/tiktok-yulay-compra-mil-boletos-metro-video,
False,2022-12-20 11:09:00.133028,,article 1522164 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2890074075,2022-12-19 16:14:00,2512577281,[],"Muri Neto Reyno, famoso rapero mexicano, a los 40 aos; esto sabemos",https://www.milenio.com/espectaculos/musica/neto-reyno-muere-rapero-mexicano-40-anos,
False,2022-12-20 21:03:40.119988,,article 1522768 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2890453372,2022-12-20 20:15:56,2513017880,[],Instagram: stas son las canciones y artistas ms populares en Reels,https://www.milenio.com/tecnologia/apps/instagram-estas-son-las-canciones-y-artistas-mas-populares-de-reels,
False,2022-12-20 21:33:47.571177,,article 1522777 at https://www.milenio.com,es,22579,milenio.com,http://www.milenio.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2890464466,2022-12-20 21:06:21,2513031837,[],"Extranjera se sorprende con gorila en puesto de feria mexicano; ""necesito respuestas""",https://www.milenio.com/virales/tiktok-danesa-sorprende-puesto-feria-mexico,
